Epoch 0 : 1.3033035621141893, Gradient Norm = 37372898.76535193
Epoch 10 : 1.3035944181018737, Gradient Norm = 7601387.7085404415
Epoch 20 : 1.3012712941001985, Gradient Norm = 10659655.08130257
Epoch 30 : 1.301524115628005, Gradient Norm = 50450251.128451996
Epoch 40 : 1.301903611253796, Gradient Norm = 81503162.9216529
Epoch 50 : 1.304526334667413, Gradient Norm = 24132807.678245414
Epoch 60 : 1.3056249773737671, Gradient Norm = 79116593.44092304
Epoch 70 : 1.3053850979911934, Gradient Norm = 18744557.94734203
Epoch 80 : 1.3074114826115482, Gradient Norm = 36150683.0503093
Epoch 90 : 1.3033212275500958, Gradient Norm = 8503041.06955642
Epoch 0 : 1.2707225528764658, Gradient Norm = 3344998.1617012224
Epoch 10 : 1.2716011632248476, Gradient Norm = 9875174.036496276
Epoch 20 : 1.274374406120652, Gradient Norm = 14117377.100397887
Epoch 30 : 1.2740411424950429, Gradient Norm = 42592339.815539345
Epoch 40 : 1.2826066046006532, Gradient Norm = 26218959.31866706
Epoch 50 : 1.2882681756787557, Gradient Norm = 81466938.1345689
Epoch 60 : 1.2947956242226855, Gradient Norm = 73307788.01701275
Epoch 70 : 1.295769872298784, Gradient Norm = 21293376.26371087
Epoch 80 : 1.3059489365451402, Gradient Norm = 18755696.035144508
Epoch 90 : 1.3182869161504003, Gradient Norm = 24984733.602095816
Epoch 0 : 0.9519755858050223, Gradient Norm = 50197088.397892475
Epoch 10 : 0.955192048616028, Gradient Norm = 117802317.71807542
Epoch 20 : 0.9569861094957263, Gradient Norm = 65238641.56008845
Epoch 30 : 0.9610698339931958, Gradient Norm = 5718778.664563382
Epoch 40 : 0.966643776846421, Gradient Norm = 11632646.853268063
Epoch 50 : 0.9716202847447656, Gradient Norm = 9251614.693515448
Epoch 60 : 0.9879661459063039, Gradient Norm = 67582582.26040591
Epoch 70 : 1.0057434596769612, Gradient Norm = 35662553.337302566
Epoch 80 : 1.0550297205116006, Gradient Norm = 11665087.351588653
Epoch 90 : 1.1035881460352497, Gradient Norm = 72659996.90162627
Epoch 0 : 0.8909066678522707, Gradient Norm = 56203888.45090666
Epoch 10 : 0.8947934699582781, Gradient Norm = 37476033.15403275
Epoch 20 : 0.8986508262756046, Gradient Norm = 12783958.696092205
Epoch 30 : 0.906799854463557, Gradient Norm = 28808208.346295934
Epoch 40 : 0.9047258816839886, Gradient Norm = 12034372.410494255
Epoch 50 : 0.904424674055805, Gradient Norm = 49797111.06860382
Epoch 60 : 0.9147724950386793, Gradient Norm = 49779505.21515391
Epoch 70 : 0.9220453879662442, Gradient Norm = 21612993.1742858
Epoch 80 : 0.9432688265738227, Gradient Norm = 77148159.73848851
Epoch 90 : 0.9672869881117351, Gradient Norm = 51968983.459186696
Epoch 0 : 1.4833199039726874, Gradient Norm = 30726319.02709228
Epoch 10 : 1.4821471494869018, Gradient Norm = 34327719.01074958
Epoch 20 : 1.4854709944184927, Gradient Norm = 65601206.753258705
Epoch 30 : 1.4901361058220284, Gradient Norm = 43571350.93406307
Epoch 40 : 1.4894363811338844, Gradient Norm = 29161271.682149254
Epoch 50 : 1.4937342013830208, Gradient Norm = 29732114.994177792
Epoch 60 : 1.4975207886940582, Gradient Norm = 66165542.75278519
Epoch 70 : 1.5075425289426747, Gradient Norm = 66192117.06039717
Epoch 80 : 1.51806909754968, Gradient Norm = 20199207.52693178
Epoch 90 : 1.5323954312304309, Gradient Norm = 40868291.7759264
Epoch 0 : 1.1313156021355797, Gradient Norm = 42415433.711198255
Epoch 10 : 1.130106058098306, Gradient Norm = 18036375.716581732
Epoch 20 : 1.1271216150043446, Gradient Norm = 14121200.58961304
Epoch 30 : 1.1276610322146567, Gradient Norm = 50270075.310131416
Epoch 40 : 1.1256298659616577, Gradient Norm = 8456783.348142443
Epoch 50 : 1.1260804552830772, Gradient Norm = 44431137.56674897
Epoch 60 : 1.128344251722995, Gradient Norm = 45787319.2730719
Epoch 70 : 1.1282023432286807, Gradient Norm = 38257305.098962925
Epoch 80 : 1.132321145107473, Gradient Norm = 129137792.7529681
Epoch 90 : 1.1374893629406866, Gradient Norm = 67885498.00924826
Epoch 0 : 1.4352410660357546, Gradient Norm = 14670232.782776553
Epoch 10 : 1.4361432298684755, Gradient Norm = 24694297.801513996
Epoch 20 : 1.436233880845234, Gradient Norm = 16475015.678223949
Epoch 30 : 1.436809133876562, Gradient Norm = 26521250.497750297
Epoch 40 : 1.4373392783028964, Gradient Norm = 40140120.93666893
Epoch 50 : 1.4363124125115723, Gradient Norm = 7829374.447111877
Epoch 60 : 1.4347472584853704, Gradient Norm = 44655439.43086346
Epoch 70 : 1.434020978361194, Gradient Norm = 15991919.96358017
Epoch 80 : 1.4347706895733072, Gradient Norm = 70117663.36948556
Epoch 90 : 1.435959873722591, Gradient Norm = 55797753.27083001
